,date,open,close,high,low,volume,code
1119,2012-01-05,15.364,15.538,15.845,15.35,181671.0,601318
1120,2012-01-06,15.506,15.502,15.662,15.392,170816.0,601318
1121,2012-01-09,15.524,15.905,15.914,15.273,331519.0,601318
1122,2012-01-10,15.937,16.619,16.665,15.914,385120.0,601318
1123,2012-01-11,16.578,16.408,16.692,16.326,265092.0,601318
1124,2012-01-12,16.39,16.656,16.944,16.326,228282.0,601318
1125,2012-01-13,16.66,16.5,16.816,16.303,188645.0,601318
1126,2012-01-16,16.44,16.298,16.669,16.294,139129.0,601318
1127,2012-01-17,16.385,17.32,17.365,16.234,312293.0,601318
1128,2012-01-18,17.265,17.15,17.631,17.072,225228.0,601318
1129,2012-01-19,17.178,17.636,17.7,17.178,356225.0,601318
1130,2012-01-20,17.755,17.906,18.075,17.658,398086.0,601318
1131,2012-01-30,17.91,17.677,17.997,17.608,220084.0,601318
1132,2012-01-31,17.677,17.558,17.906,17.31,241943.0,601318
1133,2012-02-01,17.507,17.132,17.695,16.999,270209.0,601318
1134,2012-02-02,17.242,18.153,18.181,17.237,440393.0,601318
1135,2012-02-03,18.135,18.387,18.611,18.02,441322.0,601318
1136,2012-02-06,18.423,18.144,18.478,17.97,224209.0,601318
1137,2012-02-07,18.006,17.819,18.107,17.631,263023.0,601318
1138,2012-02-09,18.359,18.263,18.57,18.181,409753.0,601318
1139,2012-02-10,18.226,18.359,18.648,18.19,261114.0,601318
1140,2012-02-13,18.107,18.446,18.707,18.066,205117.0,601318
1141,2012-02-14,18.432,18.126,18.432,17.947,235229.0,601318
1142,2012-02-15,18.066,18.428,18.593,18.066,242261.0,601318
1143,2012-02-16,18.4,18.171,18.409,18.048,172994.0,601318
1144,2012-02-17,18.405,18.203,18.464,18.066,173864.0,601318
1145,2012-02-20,18.455,18.359,18.725,18.332,314414.0,601318
1146,2012-02-21,18.382,18.634,18.657,18.181,228393.0,601318
1147,2012-02-22,18.579,18.817,18.927,18.409,240660.0,601318
1148,2012-02-23,18.771,18.78,19.0,18.689,186682.0,601318
1149,2012-02-24,18.78,19.087,19.096,18.657,257366.0,601318
1150,2012-02-27,19.156,19.009,19.325,18.973,283207.0,601318
1151,2012-02-28,19.041,19.101,19.229,18.922,200162.0,601318
1152,2012-02-29,19.037,18.693,19.051,18.606,256462.0,601318
1153,2012-03-01,18.638,18.57,18.822,18.538,177499.0,601318
1154,2012-03-02,18.625,18.89,18.909,18.625,212385.0,601318
1155,2012-03-05,18.913,18.364,18.982,18.345,355139.0,601318
1156,2012-03-06,18.35,18.061,18.364,17.965,401626.0,601318
1157,2012-03-07,17.906,17.924,18.176,17.874,216500.0,601318
1158,2012-03-08,18.011,18.277,18.483,18.011,268887.0,601318
1159,2012-03-09,18.423,18.35,18.446,18.162,137758.0,601318
1160,2012-03-12,18.345,18.217,18.345,17.906,241016.0,601318
1161,2012-03-13,18.194,18.616,18.62,18.194,225129.0,601318
1162,2012-03-14,18.776,18.203,18.84,18.135,322638.0,601318
1163,2012-03-15,18.158,18.107,18.405,18.094,196044.0,601318
1164,2012-03-16,18.153,18.107,18.268,17.768,225820.0,601318
1165,2012-03-19,18.025,17.865,18.025,17.723,252744.0,601318
1166,2012-03-20,17.814,17.75,18.02,17.723,198625.0,601318
1167,2012-03-21,17.906,17.828,17.974,17.608,176090.0,601318
1168,2012-03-22,17.865,17.837,17.956,17.636,136865.0,601318
1169,2012-03-23,17.759,17.594,17.759,17.489,159648.0,601318
1170,2012-03-26,17.549,17.521,17.636,17.384,108792.0,601318
1171,2012-03-27,17.677,17.549,17.718,17.407,190967.0,601318
1172,2012-03-28,17.48,17.118,17.507,17.063,227970.0,601318
1173,2012-03-29,16.994,16.596,17.081,16.532,249791.0,601318
1174,2012-03-30,16.706,16.752,16.779,16.546,194832.0,601318
1175,2012-04-05,16.752,17.292,17.402,16.55,288782.0,601318
1176,2012-04-06,17.288,17.439,17.558,17.21,192329.0,601318
1177,2012-04-09,17.301,17.242,17.448,17.15,84658.0,601318
1178,2012-04-10,17.182,17.434,17.457,16.921,127567.0,601318
1179,2012-04-11,17.205,17.356,17.516,17.173,148886.0,601318
1180,2012-04-12,17.375,17.892,17.942,17.274,252362.0,601318
1181,2012-04-13,17.961,18.203,18.341,17.952,342894.0,601318
1182,2012-04-16,18.094,18.08,18.226,17.952,102341.0,601318
1183,2012-04-17,18.066,17.805,18.153,17.791,119963.0,601318
1184,2012-04-18,17.915,18.313,18.35,17.851,218910.0,601318
1185,2012-04-19,18.281,18.78,19.005,18.231,569055.0,601318
1186,2012-04-20,18.73,18.945,19.005,18.693,352075.0,601318
1187,2012-04-23,18.936,18.606,19.156,18.538,279378.0,601318
1188,2012-04-24,18.506,18.68,19.142,18.409,420200.0,601318
1189,2012-04-25,18.638,18.684,18.909,18.519,224789.0,601318
1190,2012-04-26,18.771,18.863,19.051,18.762,224004.0,601318
1191,2012-04-27,18.867,18.643,19.005,18.547,234195.0,601318
1192,2012-05-02,19.115,19.312,19.444,18.977,363653.0,601318
1193,2012-05-03,19.321,19.728,19.792,19.28,318633.0,601318
1194,2012-05-04,19.692,19.728,19.852,19.513,268197.0,601318
1195,2012-05-07,19.509,19.229,19.623,19.096,332307.0,601318
1196,2012-05-08,19.316,19.046,19.367,18.954,293732.0,601318
1197,2012-05-09,18.89,18.982,19.078,18.831,259380.0,601318
1198,2012-05-10,18.959,18.945,19.083,18.913,182334.0,601318
1199,2012-05-11,18.936,18.858,19.161,18.73,177240.0,601318
1200,2012-05-14,19.009,18.68,19.174,18.419,239248.0,601318
1201,2012-05-15,18.776,19.321,19.325,18.776,470313.0,601318
1202,2012-05-16,19.234,18.872,19.266,18.835,221806.0,601318
1203,2012-05-17,18.941,19.417,19.463,18.895,295446.0,601318
1204,2012-05-18,19.22,18.964,19.22,18.776,262366.0,601318
1205,2012-05-21,18.872,19.06,19.261,18.872,155806.0,601318
1206,2012-05-22,19.133,19.495,19.509,19.096,300483.0,601318
1207,2012-05-23,19.417,19.33,19.463,19.142,234726.0,601318
1208,2012-05-24,19.238,19.252,19.541,19.17,125274.0,601318
1209,2012-05-25,19.243,18.616,19.367,18.501,226039.0,601318
1210,2012-05-28,18.579,18.808,18.867,18.4,215093.0,601318
1211,2012-05-29,18.817,19.335,19.509,18.684,260238.0,601318
1212,2012-05-30,19.335,19.348,19.495,19.243,184023.0,601318
1213,2012-05-31,19.275,19.183,19.293,19.087,170147.0,601318
1214,2012-06-01,19.188,19.312,19.458,19.179,142948.0,601318
1215,2012-06-04,19.096,18.689,19.202,18.638,366667.0,601318
1216,2012-06-05,18.753,18.625,18.89,18.565,213146.0,601318
1217,2012-06-06,18.725,18.776,18.941,18.698,155657.0,601318
1218,2012-06-07,19.005,18.812,19.307,18.73,150635.0,601318
1219,2012-06-08,19.142,18.822,19.165,18.753,266562.0,601318
1220,2012-06-11,18.968,19.385,19.394,18.89,194083.0,601318
1221,2012-06-12,19.266,19.463,19.531,19.257,198195.0,601318
1222,2012-06-13,19.472,20.736,20.818,19.472,542936.0,601318
1223,2012-06-14,20.75,20.667,20.937,20.58,348910.0,601318
1224,2012-06-15,20.722,21.093,21.354,20.722,393239.0,601318
1225,2012-06-18,21.285,21.121,21.386,20.892,201148.0,601318
1226,2012-06-19,21.066,21.047,21.34,20.997,202791.0,601318
1227,2012-06-20,21.066,21.084,21.313,21.043,138919.0,601318
1228,2012-06-21,20.956,20.502,20.956,20.269,275213.0,601318
1229,2012-06-25,20.356,19.939,20.42,19.907,189097.0,601318
1230,2012-06-26,19.916,20.136,20.356,19.82,211789.0,601318
1231,2012-06-28,20.15,20.447,20.653,20.15,253444.0,601318
1232,2012-06-29,20.388,20.947,21.262,20.379,332907.0,601318
1233,2012-07-02,21.111,21.111,21.139,20.754,185929.0,601318
1234,2012-07-03,21.111,20.892,21.432,20.818,243087.0,601318
1235,2012-07-04,20.933,20.676,21.034,20.562,110491.0,601318
1236,2012-07-05,20.539,20.768,20.974,20.438,148644.0,601318
1237,2012-07-06,20.951,21.175,21.295,20.676,330381.0,601318
1238,2012-07-09,21.061,20.882,21.455,20.795,208367.0,601318
1239,2012-07-10,20.882,20.846,21.226,20.649,161024.0,601318
1240,2012-07-11,20.699,20.933,20.974,20.598,143387.0,601318
1241,2012-07-12,20.882,20.612,20.882,20.305,351041.0,601318
1242,2012-07-13,20.397,20.608,20.882,20.397,148773.0,601318
1243,2012-07-16,20.719,20.065,20.719,20.01,208562.0,601318
1244,2012-07-17,20.033,20.397,20.447,19.932,208013.0,601318
1245,2012-07-18,20.457,20.401,20.655,19.941,166542.0,601318
1246,2012-07-19,20.332,21.157,21.414,20.268,353009.0,601318
1247,2012-07-20,21.092,21.17,21.198,20.912,187084.0,601318
1248,2012-07-23,20.889,20.627,20.889,20.493,172867.0,601318
1249,2012-07-24,20.466,20.691,20.908,20.466,157409.0,601318
1250,2012-07-25,20.498,20.586,20.899,20.493,112389.0,601318
1251,2012-07-26,20.632,20.586,21.037,20.493,164923.0,601318
1252,2012-07-27,20.747,20.489,20.807,20.033,247192.0,601318
1253,2012-07-30,20.452,20.084,20.668,20.037,159358.0,601318
1254,2012-07-31,20.084,20.374,20.779,20.033,209829.0,601318
1255,2012-08-01,20.452,20.82,20.899,20.406,154617.0,601318
1256,2012-08-02,20.77,20.65,20.899,20.447,146926.0,601318
1257,2012-08-03,20.65,20.286,20.696,19.987,229890.0,601318
1258,2012-08-06,20.268,20.539,20.572,20.231,146310.0,601318
1259,2012-08-07,20.493,20.226,20.53,20.125,180692.0,601318
1260,2012-08-08,20.245,20.434,20.461,20.153,127186.0,601318
1261,2012-08-09,20.286,20.567,20.581,20.194,142390.0,601318
1262,2012-08-10,20.493,20.65,20.848,20.493,137099.0,601318
1263,2012-08-13,20.627,19.305,20.632,19.181,414447.0,601318
1264,2012-08-14,19.305,19.158,19.388,18.845,245762.0,601318
1265,2012-08-15,19.158,19.126,19.319,19.066,111921.0,601318
1266,2012-08-16,19.112,19.121,19.25,18.997,84905.0,601318
1267,2012-08-17,19.089,19.167,19.204,18.882,142502.0,601318
1268,2012-08-20,18.928,18.946,19.066,18.605,127159.0,601318
1269,2012-08-21,18.974,18.909,19.255,18.799,148397.0,601318
1270,2012-08-22,18.918,18.831,19.066,18.624,146413.0,601318
1271,2012-08-23,18.836,18.895,18.983,18.702,144523.0,601318
1272,2012-08-24,18.951,18.822,19.038,18.757,118785.0,601318
1273,2012-08-27,18.808,17.901,18.872,17.887,245566.0,601318
1274,2012-08-28,17.901,17.905,18.186,17.799,127798.0,601318
1275,2012-08-29,17.822,17.698,17.878,17.624,107503.0,601318
1276,2012-08-30,17.454,18.02,18.214,17.454,225262.0,601318
1277,2012-08-31,17.965,17.891,18.329,17.845,129956.0,601318
1278,2012-09-03,17.744,18.352,18.486,17.739,191676.0,601318
1279,2012-09-04,18.421,18.159,18.458,18.08,100364.0,601318
1280,2012-09-05,18.113,18.076,18.366,18.02,121555.0,601318
